,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata
2019-05-01 20:45:00,2.87401,63.986,2.07014134879,0.0
2019-05-01 21:00:00,3.38582,65.156,1.48936107771,0.0
2019-05-01 21:15:00,2.79527,65.93,1.38995263121,0.0
2019-05-01 21:30:00,2.55905,65.516,1.62554875575,0.0
2019-05-01 21:45:00,2.51968,64.994,1.96788628971,0.0
2019-05-01 22:00:00,2.99212,64.886,1.96336027684,0.0
2019-05-01 22:15:00,2.99212,65.21,1.65958690744,0.0
2019-05-01 22:30:00,2.99212,65.3,1.5885467486,0.0
2019-05-01 22:45:00,3.18897,65.3,1.54881661891,0.0
2019-05-01 23:00:00,3.22834,65.606,1.3677288256,0.0
2019-05-01 23:15:00,2.91338,65.678,1.33967668743,0.0
2019-05-01 23:30:00,3.46456,65.714,1.38675582887,0.0
2019-05-01 23:45:00,3.03149,65.93,1.22743923116,0.0
2019-05-02 00:00:00,2.79527,65.606,1.33352143216,0.0
2019-05-02 00:15:00,2.79527,65.282,1.46892627764,0.0
2019-05-02 00:30:00,2.67716,65.066,1.54525443954,0.0
2019-05-02 00:45:00,2.99212,64.922,1.61808003764,0.0
2019-05-02 01:00:00,2.79527,64.994,1.59587914724,0.0
2019-05-02 01:15:00,2.7559,64.868,1.57398286447,0.0
2019-05-02 01:30:00,2.87401,64.76,1.59587914724,0.0
2019-05-02 01:45:00,2.63779,64.706,1.55955250283,0.0
2019-05-02 02:00:00,2.55905,64.454,1.60324539069,0.0
2019-05-02 02:15:00,2.67716,64.256,1.73380399775,0.0
2019-05-02 02:30:00,2.59842,64.22,1.83653834335,0.0
2019-05-02 02:45:00,2.51968,63.986,1.80717412601,0.0
2019-05-02 03:00:00,2.48031,63.662,1.81551566277,0.0
2019-05-02 03:15:00,2.44094,63.428,1.87499450807,0.0
2019-05-02 03:30:00,2.40157,63.23,1.91866874067,0.0
2019-05-02 03:45:00,2.44094,63.14,1.94984459976,0.0
2019-05-02 04:00:00,3.11023,63.446,1.706082389,0.0
2019-05-02 04:15:00,2.59842,64.31,1.37720946889,0.0
2019-05-02 04:30:00,2.44094,64.004,1.65958690744,0.0
2019-05-02 04:45:00,2.44094,63.518,1.92752491319,0.0
2019-05-02 05:00:00,2.44094,63.23,1.98609491736,0.0
2019-05-02 05:15:00,2.44094,63.122,2.00447202737,0.0
2019-05-02 05:30:00,2.7559,63.014,2.00909281261,0.0
2019-05-02 05:45:00,2.79527,63.662,1.90546071796,0.0
2019-05-02 06:00:00,2.67716,63.41,1.79060585404,0.0
2019-05-02 06:15:00,2.79527,63.446,1.79887091513,0.0
2019-05-02 06:30:00,2.99212,63.734,1.76197604641,0.0
2019-05-02 06:45:00,2.63779,63.68,1.71395730751,0.0
2019-05-02 07:00:00,2.48031,63.554,1.69433780045,0.0
2019-05-02 07:15:00,2.44094,63.338,1.81970085861,0.0
2019-05-02 07:30:00,2.44094,63.32,1.94536008162,0.0
2019-05-02 07:45:00,2.44094,63.374,1.98609491736,0.0
2019-05-02 08:00:00,2.44094,63.5,2.00447202737,0.0
2019-05-02 08:15:00,2.44094,63.5,2.02301917868,0.0
2019-05-02 08:30:00,2.44094,63.5,2.02768271952,0.0
2019-05-02 08:45:00,2.44094,63.5,2.03704207771,0.0
2019-05-02 09:00:00,2.48031,63.5,2.04173794467,0.0
2019-05-02 09:15:00,2.48031,63.5,2.04644463672,0.0
2019-05-02 09:30:00,2.48031,63.5,2.04644463672,0.0
2019-05-02 09:45:00,2.44094,63.59,2.04173794467,0.0
2019-05-02 10:00:00,2.44094,63.68,2.04173794467,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 10:15:00,2.55905,63.77,2.04644463672,0.0
2019-05-02 10:30:00,2.55905,63.968,2.05116217883,0.0
2019-05-02 10:45:00,2.51968,64.112,2.05116217883,0.0
2019-05-02 11:00:00,2.48031,64.22,2.03235701094,0.0
2019-05-02 11:15:00,2.44094,64.346,2.03235701094,0.0
2019-05-02 11:30:00,2.48031,64.508,2.02301917868,0.0
2019-05-02 11:45:00,2.44094,64.58,2.02301917868,0.0
2019-05-02 12:00:00,2.44094,64.688,2.02768271952,0.0
2019-05-02 12:15:00,2.48031,64.76,2.03235701094,0.0
2019-05-02 12:30:00,2.44094,64.994,2.03704207771,0.0
2019-05-02 12:45:00,2.44094,65.228,2.04173794467,0.0
2019-05-02 13:00:00,2.40157,65.444,2.04644463672,0.0
2019-05-02 13:15:00,2.44094,65.588,2.05116217883,0.0
2019-05-02 13:30:00,2.44094,65.714,2.05589059598,0.0
2019-05-02 13:45:00,2.44094,65.84,2.05589059598,0.0
2019-05-02 14:00:00,2.44094,65.84,2.05589059598,0.0
2019-05-02 14:15:00,2.44094,65.84,2.06062991327,0.0
2019-05-02 14:30:00,2.44094,65.84,2.06062991327,0.0
2019-05-02 14:45:00,2.44094,65.75,2.06538015581,0.0
2019-05-02 15:00:00,2.48031,65.84,2.07014134879,0.0
2019-05-02 15:15:00,2.48031,65.84,2.07014134879,0.0
2019-05-02 15:30:00,2.44094,65.696,2.07491351745,0.0
2019-05-02 15:45:00,2.44094,65.66,2.07491351745,0.0
2019-05-02 16:00:00,2.44094,65.552,2.07491351745,0.0
2019-05-02 16:15:00,2.44094,65.444,2.0796966871,0.0
2019-05-02 16:30:00,2.44094,65.3,2.08929613085,0.0
2019-05-02 16:45:00,2.44094,65.3,2.08929613085,0.0
2019-05-02 17:00:00,2.40157,65.3,2.09411245585,0.0
2019-05-02 17:15:00,2.44094,65.21,2.09411245585,0.0
2019-05-02 17:30:00,2.44094,65.12,2.09893988362,0.0
2019-05-02 17:45:00,2.44094,65.12,2.09893988362,0.0
2019-05-02 18:00:00,2.44094,65.066,2.09893988362,0.0
2019-05-02 18:15:00,2.48031,65.084,2.09893988362,0.0
2019-05-02 18:30:00,2.44094,65.156,2.10377843977,0.0
2019-05-02 18:45:00,2.44094,65.21,2.10377843977,0.0
2019-05-02 19:00:00,2.44094,65.03,2.10377843977,0.0
2019-05-02 19:15:00,2.44094,64.832,2.10377843977,0.0
2019-05-02 19:30:00,2.48031,64.67,2.10377843977,0.0
2019-05-02 19:45:00,2.44094,64.58,2.10377843977,0.0
2019-05-02 20:00:00,2.44094,64.418,2.10862814993,0.0
2019-05-02 20:15:00,2.40157,64.274,2.10377843977,0.0
2019-05-02 20:30:00,2.40157,64.166,2.10377843977,0.0
2019-05-02 20:45:00,2.63779,64.04,2.10862814993,0.0
2019-05-02 21:00:00,2.79527,64.418,2.08929613085,0.0
2019-05-02 21:15:00,2.51968,64.634,1.99526231497,0.0
2019-05-02 21:30:00,2.79527,64.328,1.95884467351,0.0
2019-05-02 21:45:00,3.18897,64.904,1.80301774086,0.0
2019-05-02 22:00:00,2.99212,65.3,1.64437172321,0.0
2019-05-02 22:15:00,2.7559,65.192,1.59587914724,0.0
2019-05-02 22:30:00,2.99212,64.958,1.60694125301,0.0
2019-05-02 22:45:00,2.83464,64.94,1.58124803927,0.0
2019-05-02 23:00:00,2.51968,64.67,1.55955250283,0.0
2019-05-02 23:15:00,3.74015,64.472,1.72981635922,0.0
2019-05-02 23:30:00,3.5433,64.742,1.62554875575,0.0
2019-05-02 23:45:00,3.46456,64.58,1.57398286447,0.0
2019-05-03 00:00:00,3.34645,64.292,1.59220872705,0.0
2019-05-03 00:15:00,3.30708,63.968,1.67880401812,0.0
2019-05-03 00:30:00,3.30708,63.77,1.79887091513,0.0
2019-05-03 00:45:00,3.26771,63.68,1.8793168168,0.0
2019-05-03 01:00:00,3.22834,63.5,1.92752491319,0.0
2019-05-03 01:15:00,3.22834,63.5,1.94984459976,0.0
2019-05-03 01:30:00,3.22834,63.5,1.97696964011,0.0
2019-05-03 01:45:00,3.22834,63.5,1.99986186963,0.0
2019-05-03 02:00:00,3.22834,63.5,2.00909281261,0.0
2019-05-03 02:15:00,3.26771,63.5,2.02768271952,0.0
2019-05-03 02:30:00,3.30708,63.626,2.04173794467,0.0
2019-05-03 02:45:00,3.26771,63.68,2.04173794467,0.0
2019-05-03 03:00:00,3.22834,63.68,2.03235701094,0.0
2019-05-03 03:15:00,3.22834,63.68,2.02301917868,0.0
2019-05-03 03:30:00,3.22834,63.608,2.01836636368,0.0
2019-05-03 03:45:00,3.22834,63.554,2.03235701094,0.0
2019-05-03 04:00:00,3.70078,63.878,1.93642196395,0.0
2019-05-03 04:15:00,3.38582,64.562,1.67880401812,0.0
2019-05-03 04:30:00,3.30708,64.436,1.74582215292,0.0
2019-05-03 04:45:00,3.26771,64.04,1.93642196395,0.0
2019-05-03 05:00:00,3.26771,63.77,1.98609491736,0.0
2019-05-03 05:15:00,3.26771,63.59,2.02301917868,0.0
2019-05-03 05:30:00,3.42519,63.5,2.03235701094,0.0
2019-05-03 05:45:00,3.50393,63.878,1.99986186963,0.0
2019-05-03 06:00:00,3.46456,63.896,1.94536008162,0.0
2019-05-03 06:15:00,3.42519,63.95,1.90546071796,0.0
2019-05-03 06:30:00,3.42519,63.86,1.85780445509,0.0
2019-05-03 06:45:00,3.38582,63.86,1.86637969083,0.0
2019-05-03 07:00:00,3.30708,63.77,1.85780445509,0.0
2019-05-03 07:15:00,3.30708,63.68,1.87068214037,0.0
2019-05-03 07:30:00,3.26771,63.68,1.88364908949,0.0
2019-05-03 07:45:00,3.22834,63.662,1.89670592121,0.0
2019-05-03 08:00:00,3.22834,63.5,1.92752491319,0.0
2019-05-03 08:15:00,3.22834,63.464,1.95884467351,0.0
2019-05-03 08:30:00,3.26771,63.32,1.97696964011,0.0
2019-05-03 08:45:00,3.26771,63.32,1.99526231497,0.0
2019-05-03 09:00:00,3.22834,63.374,1.99526231497,0.0
2019-05-03 09:15:00,3.22834,63.5,1.99526231497,0.0
2019-05-03 09:30:00,3.22834,63.5,1.99526231497,0.0
2019-05-03 09:45:00,3.26771,63.5,1.99986186963,0.0
2019-05-03 10:00:00,3.22834,63.5,2.00909281261,0.0
2019-05-03 10:15:00,3.22834,63.5,2.01372424986,0.0
2019-05-03 10:30:00,3.22834,63.59,2.01372424986,0.0
2019-05-03 10:45:00,3.26771,63.77,2.02301917868,0.0
2019-05-03 11:00:00,3.30708,63.968,2.02301917868,0.0
2019-05-03 11:15:00,3.26771,64.04,2.02768271952,0.0
2019-05-03 11:30:00,3.26771,63.878,2.02301917868,0.0
2019-05-03 11:45:00,3.26771,63.86,2.02301917868,0.0
2019-05-03 12:00:00,3.26771,63.86,2.02301917868,0.0
2019-05-03 12:15:00,3.26771,64.04,2.02301917868,0.0
2019-05-03 12:30:00,3.30708,64.148,2.02301917868,0.0
2019-05-03 12:45:00,3.34645,64.382,2.03704207771,0.0
2019-05-03 13:00:00,3.34645,64.67,2.04173794467,0.0
2019-05-03 13:15:00,3.34645,64.994,2.02768271952,0.0
2019-05-03 13:30:00,3.26771,65.246,2.01836636368,0.0
2019-05-03 13:45:00,3.26771,65.426,2.00909281261,0.0
2019-05-03 14:00:00,3.26771,65.534,2.01372424986,0.0
2019-05-03 14:15:00,3.22834,65.66,2.02301917868,0.0
2019-05-03 14:30:00,3.26771,65.66,2.03235701094,0.0
2019-05-03 14:45:00,3.22834,65.786,2.03704207771,0.0
2019-05-03 15:00:00,3.26771,65.84,2.05116217883,0.0
2019-05-03 15:15:00,3.30708,65.84,2.05589059598,0.0
2019-05-03 15:30:00,3.38582,66.002,2.06538015581,0.0
2019-05-03 15:45:00,3.30708,66.02,2.04644463672,0.0
2019-05-03 16:00:00,3.30708,66.164,2.02301917868,0.0
2019-05-03 16:15:00,3.46456,66.2,2.00447202737,0.0
2019-05-03 16:30:00,3.38582,66.362,1.98609491736,0.0
2019-05-03 16:45:00,3.30708,66.38,1.95884467351,0.0
2019-05-03 17:00:00,3.30708,66.38,1.95433945578,0.0
2019-05-03 17:15:00,3.38582,66.38,1.95884467351,0.0
2019-05-03 17:30:00,3.30708,66.38,1.97242273611,0.0
2019-05-03 17:45:00,3.26771,66.236,1.97242273611,0.0
2019-05-03 18:00:00,3.26771,66.074,1.97696964011,0.0
2019-05-03 18:15:00,3.26771,66.02,1.99067333899,0.0
2019-05-03 18:30:00,3.26771,65.84,2.01372424986,0.0
2019-05-03 18:45:00,3.26771,65.75,2.03704207771,0.0
2019-05-03 19:00:00,3.22834,65.66,2.04644463672,0.0
2019-05-03 19:15:00,3.22834,65.552,2.04644463672,0.0
2019-05-03 19:30:00,3.18897,65.372,2.05116217883,0.0
2019-05-03 19:45:00,3.18897,65.174,2.06062991327,0.0
2019-05-03 20:00:00,3.22834,64.958,2.06062991327,0.0
2019-05-03 20:15:00,3.26771,64.796,2.07014134879,0.0
2019-05-03 20:30:00,3.26771,64.67,2.07014134879,0.0
2019-05-03 20:45:00,3.26771,64.58,2.06538015581,0.0
2019-05-03 21:00:00,3.81889,64.904,1.94984459976,0.0
2019-05-03 21:15:00,3.50393,65.804,1.74984668862,0.0
2019-05-03 21:30:00,3.38582,65.642,1.71001531509,0.0
2019-05-03 21:45:00,3.34645,65.03,1.96336027684,0.0
2019-05-03 22:00:00,3.34645,64.616,2.05589059598,0.0
2019-05-03 22:15:00,3.34645,64.364,2.05589059598,0.0
2019-05-03 22:30:00,3.34645,64.166,2.04644463672,0.0
2019-05-03 22:45:00,3.30708,63.986,2.03704207771,0.0
2019-05-03 23:00:00,3.42519,63.86,2.02301917868,0.0
2019-05-03 23:15:00,3.46456,63.95,1.98609491736,0.0
2019-05-03 23:30:00,3.89763,64.13,1.90107827992,0.0
2019-05-03 23:45:00,3.74015,64.85,1.53108746168,0.0
2019-05-04 00:00:00,3.46456,64.85,1.44877185354,0.0
2019-05-04 00:15:00,3.42519,64.616,1.47231250243,0.0
2019-05-04 00:30:00,3.38582,64.436,1.5776112697,0.0
2019-05-04 00:45:00,3.5433,64.4,1.6405897732,0.0
2019-05-04 01:00:00,3.50393,64.58,1.67494287603,0.0
2019-05-04 01:15:00,3.5433,64.616,1.65196179823,0.0
2019-05-04 01:30:00,3.46456,64.76,1.66724721255,0.0
2019-05-04 01:45:00,3.38582,64.67,1.65576996347,0.0
2019-05-04 02:00:00,3.38582,64.49,1.68655302539,0.0
2019-05-04 02:15:00,3.42519,64.418,1.72583789199,0.0
2019-05-04 02:30:00,3.34645,64.49,1.74180687339,0.0
2019-05-04 02:45:00,3.5433,64.454,1.76197604641,0.0
2019-05-04 03:00:00,3.50393,64.724,1.77827941004,0.0
2019-05-04 03:15:00,3.42519,64.706,1.74984668862,0.0
2019-05-04 03:30:00,3.38582,64.508,1.706082389,0.0
2019-05-04 03:45:00,3.34645,64.292,1.706082389,0.0
2019-05-04 04:00:00,3.30708,64.076,1.77827941004,0.0
2019-05-04 04:15:00,3.34645,63.932,1.85353162341,0.0
2019-05-04 04:30:00,3.30708,63.86,1.90107827992,0.0
2019-05-04 04:45:00,3.30708,63.86,1.93642196395,0.0
2019-05-04 05:00:00,3.30708,63.86,1.95433945578,0.0
2019-05-04 05:15:00,3.30708,63.752,1.97242273611,0.0
2019-05-04 05:30:00,3.30708,63.68,1.98609491736,0.0
2019-05-04 05:45:00,3.30708,63.5,2.00447202737,0.0
2019-05-04 06:00:00,3.30708,63.5,2.01372424986,0.0
2019-05-04 06:15:00,3.30708,63.5,2.01836636368,0.0
2019-05-04 06:30:00,3.30708,63.5,2.02768271952,0.0
2019-05-04 06:45:00,3.30708,63.5,2.03235701094,0.0
2019-05-04 07:00:00,3.34645,63.446,2.03704207771,0.0
2019-05-04 07:15:00,3.34645,63.32,2.04644463672,0.0
2019-05-04 07:30:00,3.34645,63.32,2.05589059598,0.0
2019-05-04 07:45:00,3.30708,63.32,2.06062991327,0.0
2019-05-04 08:00:00,3.30708,63.32,2.06062991327,0.0
2019-05-04 08:15:00,3.30708,63.32,2.06538015581,0.0
2019-05-04 08:30:00,3.30708,63.32,2.06062991327,0.0
2019-05-04 08:45:00,3.26771,63.32,2.06538015581,0.0
2019-05-04 09:00:00,3.30708,63.32,2.06538015581,0.0
2019-05-04 09:15:00,3.30708,63.32,2.06538015581,0.0
2019-05-04 09:30:00,3.30708,63.32,2.07014134879,0.0
2019-05-04 09:45:00,3.30708,63.428,2.07014134879,0.0
2019-05-04 10:00:00,3.42519,63.554,2.07491351745,0.0
2019-05-04 10:15:00,3.34645,63.698,2.07014134879,0.0
2019-05-04 10:30:00,3.30708,63.86,2.05589059598,0.0
2019-05-04 10:45:00,3.26771,63.842,2.05116217883,0.0
2019-05-04 11:00:00,3.26771,63.86,2.04644463672,0.0
2019-05-04 11:15:00,3.26771,63.86,2.05116217883,0.0
