,count,count,sum,sum,count,count,amax,amax,mean,mean,median,median,amin,amin,WMA,Site,MainOutfall/SpecialStudy
,Flow compound weir stormflow clipped (gal),Flow v-notch only stormflow clipped (gal),Flow compound weir stormflow clipped (gal),Flow v-notch only stormflow clipped (gal),Flow compound weir stormflow clipped (gpm),Flow v-notch only stormflow clipped (gpm),Flow compound weir stormflow clipped (gpm),Flow v-notch only stormflow clipped (gpm),Flow compound weir stormflow clipped (gpm),Flow v-notch only stormflow clipped (gpm),Flow compound weir stormflow clipped (gpm),Flow v-notch only stormflow clipped (gpm),Flow compound weir stormflow clipped (gpm),Flow v-notch only stormflow clipped (gpm),,,
Year,,,,,,,,,,,,,,,,,
2019,36266.0,36266.0,50163.3,50245.835,36266.0,36266.0,61.66,61.665,0.2766409309,0.277096095517,0.02,0.02,0.0,0.0,SDR,SDR-098,MainOutfall
2019,37539.0,37539.0,78241.95,78361.755,37539.0,37539.0,53.79,53.789,0.416856868856,0.417495165028,0.09,0.093,0.0,0.0,SDR,SDR-1024,SpecialStudy
2019,37804.0,37804.0,12098.95,12150.705,37804.0,37804.0,22.23,22.229,0.0640088350439,0.0642826420485,0.0,0.0,0.0,0.0,SDR,SDR-1031,SpecialStudy
2019,19817.0,19817.0,274058.3,270879.28,19817.0,19817.0,269.71,161.764,2.76589090175,2.73380713529,0.2,0.2,0.0,0.0,SDR,SDR-127,MainOutfall
2019,36826.0,36826.0,2561791.0,1827743.63,36826.0,36826.0,15692.23,13618.0,13.9129473741,9.92637609298,0.06,0.063,0.0,0.0,SDR,SDR-127B,SpecialStudy
2019,30279.0,30279.0,383351.15,278916.49,30279.0,30279.0,2383.73,1039.81,2.53212556557,1.84230978566,0.03,0.031,0.0,0.0,SDR,SDR-203A,SpecialStudy
2019,30082.0,30082.0,101898.3,93624.04,30082.0,30082.0,391.84,204.193,0.677470247989,0.622458879064,0.0,0.001,0.0,0.0,SDR,SDR-204A,SpecialStudy
2019,35384.0,35384.0,3854567.15,3597022.735,35384.0,35384.0,8928.08,2637.21,21.7870627967,20.3313516561,18.44,18.441,8.86,8.855,SDR,SDR-207,MainOutfall
2019,34002.0,34002.0,133558.2,133521.2,34002.0,34002.0,186.99,186.988,0.785590259397,0.78537262514,0.01,0.007,0.0,0.0,SDR,SDR-223,MainOutfall
2019,35271.0,35271.0,18607.75,18739.85,35271.0,35271.0,30.84,30.845,0.1055130277,0.106262084999,0.01,0.011,0.0,0.0,SDR,SDR-228,MainOutfall
2019,31613.0,31613.0,119695.6,118353.775,31613.0,31613.0,323.94,228.562,0.757255559422,0.74876648847,0.21,0.214,0.0,0.0,SDR,SDR-568,MainOutfall
2019,37265.0,37265.0,13619.3,13620.045,37265.0,37265.0,12.25,12.253,0.0730943244331,0.073098322823,0.0,0.0,0.0,0.0,SDR,SDR-723,MainOutfall
2019,37748.0,37748.0,4307.75,4258.045,37748.0,37748.0,3.62,3.623,0.0228237257603,0.0225603740595,0.0,0.0,0.0,0.0,SDR,SDR-740,MainOutfall
2019,34910.0,34910.0,49684.4,49903.675,34910.0,34910.0,49.37,49.37,0.284642795761,0.285899026067,0.04,0.04,0.0,0.0,SDR,SDR-751,MainOutfall
2019,33339.0,33339.0,375015.4,374976.68,33339.0,33339.0,8465.66,8465.66,2.24970994931,2.2494776688,0.02,0.016,0.0,0.0,SDR,SDR-772,MainOutfall
2019,36433.0,36433.0,3213542.5,3199896.315,36433.0,36433.0,493.4,308.569,17.6408338594,17.5659227349,8.86,8.855,1.5,1.498,SDR,SDR-780,MainOutfall
2019,38814.0,38814.0,105065.7,105121.26,38814.0,38814.0,46.9,46.897,0.541380429742,0.541666718194,0.0,0.005,0.0,0.0,SDR,SDR-939,MainOutfall
2019,37562.0,37562.0,1107552.15,1107455.665,37562.0,37562.0,49.37,49.37,5.89719477131,5.89668103402,0.65,0.654,0.0,0.0,SLR,SLR-045,MainOutfall
2019,34572.0,34572.0,1939675.65,1938816.815,34572.0,34572.0,245.82,234.913,11.2210786185,11.2161102337,3.7,3.698,0.0,0.0,SLR,SLR-045A,SpecialStudy
2019,38165.0,38165.0,1679.35,1719.155,38165.0,38165.0,1.06,1.06,0.00880047163632,0.00900906589807,0.0,0.001,0.0,0.0,SLR,SLR-045B,SpecialStudy
2019,28351.0,28351.0,218795.95,218816.805,28351.0,28351.0,67.13,67.134,1.54347959508,1.54362671511,1.17,1.17,0.46,0.46,SLR,SLR-095,MainOutfall
2019,36799.0,36799.0,117236.65,113089.175,36799.0,36799.0,315.83,280.297,0.637173021006,0.614631783472,0.0,0.0,0.0,0.0,SWT,SWT-019,MainOutfall
2019,38227.0,38227.0,596882.9,596789.265,38227.0,38227.0,60.44,60.442,3.12283412248,3.12234423313,2.54,2.541,0.89,0.89,SWT,SWT-030,MainOutfall
2019,36928.0,36928.0,9283901.55,9283910.46,36928.0,36928.0,278.27,278.267,50.2810959164,50.2811441724,46.9,46.897,19.86,19.864,SWT,SWT-055,MainOutfall
2019,36183.0,36183.0,7026745.2,7026662.04,36183.0,36183.0,337.35,337.349,38.8400364812,38.8395768178,37.75,37.754,24.99,24.993,SWT,SWT-055A,SpecialStudy
